id,ident,name,type,latitude_deg,longitude_deg,iso_country,country_name,iso_region,iata_code
2585,ENML,"Molde Airport, Årø",medium_airport,62.744701,7.2625,NO,Norway,NO-15,MOL
2586,ENMS,"Mosjøen Airport, Kjærstad",medium_airport,65.783997,13.2149,NO,Norway,NO-18,MJF
2587,ENNA,"Lakselv Airport, Banak",medium_airport,70.068802,24.973499,NO,Norway,NO-56,LKL
2588,ENNO,Notodden Airport,medium_airport,59.565071,9.213152,NO,Norway,NO-40,NTB
2589,ENOL,Ørland Airport,medium_airport,63.69889831542969,9.604000091552734,NO,Norway,NO-50,OLA
2591,ENRO,Røros Airport,medium_airport,62.578399658203,11.342300415039,NO,Norway,NO-50,RRS
2593,ENSB,"Svalbard Airport, Longyear",medium_airport,78.246101,15.4656,NO,Norway,NO-21,LYR
2595,ENSO,"Stord Airport, Sørstokken",medium_airport,59.791901,5.34085,NO,Norway,NO-46,SRP
2596,ENSR,Sørkjosen Airport,medium_airport,69.786797,20.9594,NO,Norway,NO-55,SOJ
2597,ENSS,"Vardø Airport, Svartnes",medium_airport,70.3554,31.044901,NO,Norway,NO-56,VAW
2598,ENST,"Sandnessjøen Airport, Stokka",medium_airport,65.956802,12.4689,NO,Norway,NO-18,SSJ
2599,ENTC,Tromsø Airport,large_airport,69.683296,18.9189,NO,Norway,NO-55,TOS
2600,ENTO,"Sandefjord Airport, Torp",large_airport,59.186699,10.2586,NO,Norway,NO-39,TRF
2601,ENVA,"Trondheim Airport, Værnes",large_airport,63.457802,10.924,NO,Norway,NO-50,TRD
2602,ENZV,"Stavanger Airport, Sola",large_airport,58.876701,5.63778,NO,Norway,NO-11,SVG
2604,EPBY,Ignacy Jan Paderewski Bydgoszcz Airport,medium_airport,53.096802,17.977699,PL,Poland,PL-KP,BZG
2608,EPGD,Gdańsk Lech Wałęsa Airport,large_airport,54.377602,18.4662,PL,Poland,PL-PM,GDN
2609,EPKK,Kraków John Paul II International Airport,large_airport,50.077702,19.7848,PL,Poland,PL-MA,KRK
2613,EPKT,Katowice Wojciech Korfanty International Airport,large_airport,50.476015,19.080705,PL,Poland,PL-SL,KTW
2616,EPLL,Łódź Władysław Reymont Airport,large_airport,51.721901,19.3981,PL,Poland,PL-LD,LCJ
2622,EPMO,Warsaw Modlin Airport,large_airport,52.451099,20.6518,PL,Poland,PL-MZ,WMI
2625,EPPO,Poznań-Ławica Airport,large_airport,52.421598,16.823359,PL,Poland,PL-WP,POZ
2628,EPRA,Warsaw Radom Airport,medium_airport,51.38937,21.214742,PL,Poland,PL-MZ,RDO
2629,EPRZ,Rzeszów-Jasionka Airport,large_airport,50.109791,22.024155,PL,Poland,PL-PK,RZE
2630,EPSC,Solidarity Szczecin–Goleniów Airport,large_airport,53.584702,14.9022,PL,Poland,PL-ZP,SZZ
2635,EPSY,Olsztyn-Mazury Airport,medium_airport,53.481899,20.9377,PL,Poland,PL-WN,SZY
2637,EPWA,Warsaw Chopin Airport,large_airport,52.165699,20.9671,PL,Poland,PL-MZ,WAW
2638,EPWR,Copernicus Wrocław Airport,large_airport,51.103719,16.882096,PL,Poland,PL-DS,WRO
2639,EPZG,Zielona Góra-Babimost Airport,medium_airport,52.1385,15.7986,PL,Poland,PL-LB,IEG
2646,ESDF,Ronneby Airport,medium_airport,56.266701,15.265,SE,Sweden,SE-K,RNB
2648,ESGG,Göteborg Landvetter Airport,large_airport,57.6628,12.2798,SE,Sweden,SE-Q,GOT
2649,ESGJ,Jönköping Airport,medium_airport,57.757598876953125,14.068699836730955,SE,Sweden,SE-F,JKG
2652,ESGP,Säve Airport,medium_airport,57.7747,11.8704,SE,Sweden,SE-Q,GSE
2653,ESGR,Skövde Airport,medium_airport,58.456402,13.9727,SE,Sweden,SE-Q,KVB
2654,ESGT,Trollhättan-Vänersborg Airport,medium_airport,58.31809997558594,12.345000267028809,SE,Sweden,SE-Q,THN
2658,ESKK,Karlskoga Airport,medium_airport,59.345901,14.4959,SE,Sweden,SE-T,KSK
2659,ESKM,Mora Airport,medium_airport,60.957901,14.5114,SE,Sweden,SE-W,MXX
2660,ESKN,Stockholm Skavsta Airport,large_airport,58.789656,16.911479,SE,Sweden,SE-D,NYO
2664,ESMK,Kristianstad Airport,medium_airport,55.9217,14.0855,SE,Sweden,SE-M,KID
2668,ESMQ,Kalmar Airport,medium_airport,56.685501,16.2876,SE,Sweden,SE-H,KLR
2669,ESMS,Malmö Sturup Airport,large_airport,55.535564,13.376327,SE,Sweden,SE-M,MMX
2670,ESMT,Halmstad Airport,medium_airport,56.69110107421875,12.820199966430664,SE,Sweden,SE-N,HAD
2672,ESMX,Växjö Kronoberg Airport,medium_airport,56.929100036621094,14.727999687194824,SE,Sweden,SE-G,VXO
2676,ESNG,Gällivare Airport,medium_airport,67.13240051269531,20.814599990844727,SE,Sweden,SE-BD,GEV
2679,ESNK,Kramfors-Sollefteå Höga Kusten Airport,medium_airport,63.048599,17.7689,SE,Sweden,SE-Y,KRF
2680,ESNL,Lycksele Airport,medium_airport,64.548302,18.7162,SE,Sweden,SE-AC,LYC
2682,ESNN,Sundsvall-Härnösand Airport,medium_airport,62.528099060058594,17.443899154663086,SE,Sweden,SE-Y,SDL
2683,ESNO,Örnsköldsvik Airport,medium_airport,63.40829849243164,18.989999771118164,SE,Sweden,SE-Y,OER
2685,ESNQ,Kiruna Airport,large_airport,67.821999,20.3368,SE,Sweden,SE-BD,KRN
2687,ESNS,Skellefteå Airport,medium_airport,64.62480163574219,21.076900482177734,SE,Sweden,SE-AC,SFT
2689,ESNU,Umeå Airport,large_airport,63.791801,20.282801,SE,Sweden,SE-AC,UME
2690,ESNV,Vilhelmina South Lapland Airport,medium_airport,64.579102,16.833599,SE,Sweden,SE-AC,VHM
2691,ESNX,Arvidsjaur Airport,medium_airport,65.59030151367188,19.28190040588379,SE,Sweden,SE-BD,AJR
2692,ESNY,Söderhamn Airport,medium_airport,61.261501,17.0991,SE,Sweden,SE-X,SOO
2693,ESOE,Örebro Airport,medium_airport,59.22370147705078,15.038000106811523,SE,Sweden,SE-T,ORB
2695,ESOK,Karlstad Airport,medium_airport,59.444698,13.3374,SE,Sweden,SE-S,KSD
2696,ESOW,Stockholm Västerås Airport,large_airport,59.589401,16.6336,SE,Sweden,SE-U,VST
2697,ESPA,Luleå Airport,large_airport,65.5438,22.122,SE,Sweden,SE-BD,LLA
2701,ESSA,Stockholm-Arlanda Airport,large_airport,59.64849,17.928829,SE,Sweden,SE-AB,ARN
2702,ESSB,Stockholm-Bromma Airport,medium_airport,59.354401,17.9417,SE,Sweden,SE-AB,BMA
2703,ESSD,Dala Airport,medium_airport,60.422001,15.5152,SE,Sweden,SE-W,BLE
2705,ESSK,Gävle Sandviken Airport,medium_airport,60.5933,16.951401,SE,Sweden,SE-X,GVX
2706,ESSL,Linköping City Airport,large_airport,58.404909,15.684499,SE,Sweden,SE-E,LPI
